"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Agonum retractum",6.2,7.6,,"dimorphic; macropterous morph present","Liebherr 1994","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Europhilus","retractum",""
"Amara aenea",6.2,8.8,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","aenea",""
"Amara littoralis",6.2,9.3,,,"Hieke 2000a","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","littoralis",""
"Amara coelebs",6.3,7.7,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","coelebs",""
"Calleida viridis",6.3,9.1,,"macropterous","Larson 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","","",,"Calleida","","viridis",""
"Agonum gratiosum",6.4,9.1,,"full wing but probably flightless","Liebherr 1994","Lindroth 1969","Lindroth 1969","hibernate as larva","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Europhilus","gratiosum",""
"Agonum thoreyi",6.4,8.7,,"macropterous","Liebherr 1994","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Europhilus","thoreyi",""
"Amara cupreolata",6.4,8.4,,"probably flightless; wings small","Hieke 2003","Hieke 2003","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","cupreolata",""
"Amara tenax",6.4,8.6,,,"Hieke 2003","Hieke 2003",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","tenax",""
"Agonum ferreum",6.5,7.5,,,"Liebherr 1994","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","ferreum",""
"Agonum propinquum",6.5,8.2,,,"Liebherr 1994","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","propinquum",""
